id,name,reviews,rating,address,ranking_string,ranking_pos,tags,ranking_length,url
2010324,188590,Amsterdam Canal Cruises,9885,4.5,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d2010324-Reviews-Amsterdam_Canal_Cruises-Amsterdam_North_Holland_Province.html
190575,188590,The Jordaan,11119,4.5,,#4 of 715 things to do in Amsterdam,4,715,Sights & Landmarks;Neighborhoods,https://www.tripadvisor.com/Attraction_Review-g188590-d190575-Reviews-The_Jordaan-Amsterdam_North_Holland_Province.html
7932225,188590,Free Walking Tours Amsterdam,3272,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d7932225-Reviews-Free_Walking_Tours_Amsterdam-Amsterdam_North_Holland_Province.html
1099424,188590,SANDEMANs NEW Europe - Amsterdam,18077,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d1099424-Reviews-SANDEMANs_NEW_Europe_Amsterdam-Amsterdam_North_Holland_Province.html
8305173,188590,"Leemstar, Amsterdam Canal Cruises",665,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d8305173-Reviews-Leemstar_Amsterdam_Canal_Cruises-Amsterdam_North_Holland_Province.html
244485,188590,Sexmuseum Amsterdam Venustempel,3902,3.5,,#127 of 715 things to do in Amsterdam,127,715,Museums;Specialty Museums,https://www.tripadvisor.com/Attraction_Review-g188590-d244485-Reviews-Sexmuseum_Amsterdam_Venustempel-Amsterdam_North_Holland_Province.html
6219557,188590,Friendship Amsterdam,2606,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d6219557-Reviews-Friendship_Amsterdam-Amsterdam_North_Holland_Province.html
244497,188590,ARTIS Amsterdam Royal Zoo,6693,4.5,,#30 of 715 things to do in Amsterdam,30,715,Outdoor Activities;Zoos & Aquariums;Nature & Parks,https://www.tripadvisor.com/Attraction_Review-g188590-d244497-Reviews-ARTIS_Amsterdam_Royal_Zoo-Amsterdam_North_Holland_Province.html
244448,188590,Madame Tussauds Amsterdam,6742,4.0,,#89 of 715 things to do in Amsterdam,89,715,Museums;Specialty Museums,https://www.tripadvisor.com/Attraction_Review-g188590-d244448-Reviews-Madame_Tussauds_Amsterdam-Amsterdam_North_Holland_Province.html
1499038,188590,OBA Library of Amsterdam,2972,4.5,,#18 of 715 things to do in Amsterdam,18,715,Traveler Resources;Libraries,https://www.tripadvisor.com/Attraction_Review-g188590-d1499038-Reviews-OBA_Library_of_Amsterdam-Amsterdam_North_Holland_Province.html
190206,188590,Amsterdam Museum,2095,4.0,,#73 of 715 things to do in Amsterdam,73,715,Museums;History Museums,https://www.tripadvisor.com/Attraction_Review-g188590-d190206-Reviews-Amsterdam_Museum-Amsterdam_North_Holland_Province.html
4101131,188590,Xtracold Icebar Amsterdam,4442,3.5,,#53 of 331 Nightlife in Amsterdam,53,331,Nightlife;Bars & Clubs,https://www.tripadvisor.com/Attraction_Review-g188590-d4101131-Reviews-Xtracold_Icebar_Amsterdam-Amsterdam_North_Holland_Province.html
523494,188590,The Bulldog Amsterdam,1782,4.0,,#64 of 331 Nightlife in Amsterdam,64,331,Nightlife;Bars & Clubs,https://www.tripadvisor.com/Attraction_Review-g188590-d523494-Reviews-The_Bulldog_Amsterdam-Amsterdam_North_Holland_Province.html
13998700,188590,Flagship Amsterdam,2843,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d13998700-Reviews-Flagship_Amsterdam-Amsterdam_North_Holland_Province.html
244447,188590,Royal Palace Amsterdam,3080,4.0,,#45 of 715 things to do in Amsterdam,45,715,Sights & Landmarks;Architectural Buildings;Points of Interest & Landmarks,https://www.tripadvisor.com/Attraction_Review-g188590-d244447-Reviews-Royal_Palace_Amsterdam-Amsterdam_North_Holland_Province.html
599199,188590,The Amsterdam Dungeon,2509,4.0,,#22 of 135 Fun & Games in Amsterdam,22,135,Museums;Fun & Games;Game & Entertainment Centers;Specialty Museums More,https://www.tripadvisor.com/Attraction_Review-g188590-d599199-Reviews-The_Amsterdam_Dungeon-Amsterdam_North_Holland_Province.html
1597480,188590,Canal Tours Amsterdam,1671,4.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d1597480-Reviews-Canal_Tours_Amsterdam-Amsterdam_North_Holland_Province.html
190676,188590,Stedelijk Museum Amsterdam,2745,4.0,,#68 of 715 things to do in Amsterdam,68,715,Museums;Specialty Museums;Art Museums,https://www.tripadvisor.com/Attraction_Review-g188590-d190676-Reviews-Stedelijk_Museum_Amsterdam-Amsterdam_North_Holland_Province.html
310395,188590,Hermitage Amsterdam,2198,4.0,,#57 of 715 things to do in Amsterdam,57,715,Museums;Art Museums,https://www.tripadvisor.com/Attraction_Review-g188590-d310395-Reviews-Hermitage_Amsterdam-Amsterdam_North_Holland_Province.html
1057621,188590,City Sightseeing Amsterdam,1683,3.5,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d1057621-Reviews-City_Sightseeing_Amsterdam-Amsterdam_North_Holland_Province.html
10409492,188590,Boat Amsterdam,998,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d10409492-Reviews-Boat_Amsterdam-Amsterdam_North_Holland_Province.html
4584280,188590,We Bike Amsterdam Tours,1181,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d4584280-Reviews-We_Bike_Amsterdam_Tours-Amsterdam_North_Holland_Province.html
6454312,188590,360 Amsterdam,3013,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d6454312-Reviews-360_Amsterdam-Amsterdam_North_Holland_Province.html
4480916,188590,"Hungry Birds, Amsterdam Street Food Tours",1180,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d4480916-Reviews-Hungry_Birds_Amsterdam_Street_Food_Tours-Amsterdam_North_Holland_Province.html
9554700,188590,Amsterdam Withlocals,841,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d9554700-Reviews-Amsterdam_Withlocals-Amsterdam_North_Holland_Province.html
10020579,188590,Amsterdam Light Festival,389,3.0,,#503 of 715 things to do in Amsterdam,503,715,Events;Cultural Events,https://www.tripadvisor.com/Attraction_Review-g188590-d10020579-Reviews-Amsterdam_Light_Festival-Amsterdam_North_Holland_Province.html
266245,188590,Verzetsmuseum Amsterdam,3296,4.5,,#33 of 715 things to do in Amsterdam,33,715,Museums;History Museums,https://www.tripadvisor.com/Attraction_Review-g188590-d266245-Reviews-Verzetsmuseum_Amsterdam-Amsterdam_North_Holland_Province.html
1418516,188590,Amsterdam RAI,360,4.0,,#75 of 715 things to do in Amsterdam,75,715,Traveler Resources;Conference & Convention Centers,https://www.tripadvisor.com/Attraction_Review-g188590-d1418516-Reviews-Amsterdam_RAI-Amsterdam_North_Holland_Province.html
3170878,188590,City Free Tour Amsterdam,789,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d3170878-Reviews-City_Free_Tour_Amsterdam-Amsterdam_North_Holland_Province.html
6849245,188590,Eating Amsterdam Food Tours,694,5.0,"Amsterdam, The Netherlands",,,,[],https://www.tripadvisor.com/Attraction_Review-g188590-d6849245-Reviews-Eating_Amsterdam_Food_Tours-Amsterdam_North_Holland_Province.htm
