id_review,title,caption,rating,timestamp,username,userlink,n_review_user,location,n_votes_review,date_of_experience
751858507,Expensive but worth it.,"I know I know. I can't put a price on art and culture. But I am giving a review here, so please bear with me.We budget for an opera every 2 months, and a ballet every month. If Anna Netrebko performs, we would break this rule. The Opera House is grand. Full of history and stars have come and gone. The audience is well behaved and cultured, except for those with beehive hairdo, or hat-wearer, or the teased-to-death frizzy hair...you know who you are! Please do not choose seats in the middle of the auditorium! Sit not he side, the last row! The acoustics are always superb, and most ballets are traditional (for modern or contemporary you can go to Sadler's Wells). So are operas. We love them all.Join the ROH as a Friend and you will get a small window ahead of the public for the previous tickets. Arrive 30 minutes before so you can relax and enjoy the scenery - including people watching. Some weirdos (peculiar fashion) here or there, but generally plebe are well dressed. Not over the top. But nicely fitted out. Have the house rose wine for about £5.50 instead of the ridiculously priced champagne - £15! People are mad but I suppose it is an occasion. I give them that indulgence. Order your drinks for the interval so you don't have to break your Louboutins to get to the front of the queue.",5.0,Mar 2020,Sang F,/Profile/SangF,379,"London, United Kingdom",116, March 2020
751210160,Breathtaking,"Had the most amazing evening, dinner booked in the piazza restaurant, set menu, great value and choice, service excellent. La Traviata, wow, amazing performance! Definitely would recommend.",5.0,Mar 2020,Elizabeth G,/Profile/EGSTAFFS,2,,0, March 2020
750107728,Increíble lugar,"Es un lugar impresionante , la acústica es genial y te atienden divinamente.Un espectáculo visual es sin duda,este lugar.",5.0,Mar 2020,Mdemutante,/Profile/mdemutante,113,"Madrid, Spain",12, March 2020
749229319,Backstage tour,"The backstage tour doesn't actually allow you onto the stage to see the sets - but it does take you to the lighting store and dress store etc - so, whilst it may not be quite what you expect, the tour is both interesting and fascinating",5.0,Mar 2020,An_Old_Burian,/Profile/An_Old_Burian,1063,"Norwich, United Kingdom",334, March 2020
748479432,Tour and recital,"What an informative tour! so much to learn so much to see! we were lucky enough to see a rehearsal and also watch a ballet class, go past the costume makers and get a good history lesson as well. Definitely lots of walking and a lot upstairs and inside closed buildings so if you have trouble walking or are claustrophobic this is not for you. Finished with a recital which was magical. Well worth doing.",4.0,Mar 2020,Bronwen C,/Profile/bronwenc998,247,"Perth, Australia",32, February 2020
748204987,'The Cellist' very enjoyable!,"Beatriz Stix-Brunell the lead soloist as Jacqueline du Pré in tonight's The Cellist delivered a sparkling and engaging performance with wonderful warmth and enthusiasm, really great!There were some niggles with the choreography but it was the music, or lack of certain cello solos, that I thought the key issue. More Bach would really not have gone astray ..... Still I'm grateful for the truly amazing Royal Ballet who entertained wonderfuly tonight, a really fab dance experience!",5.0,Feb 2020,gary w,/Profile/mrgaryw,1254,,115, February 2020
747962699,Linbury Theatre - formality and relaxation,This is a great addition to the ROH site.  Beautifully decorated in classic style it is intimate allowing you to see the performers close-up.  Seats for our performance of Acosta Danza Up Close were around £30.  A bargain compared to standard ROH tickets.  Naturally you also benefit from all the facilities of the ROH but with easier access.  Certainly well worth a visit.,5.0,Feb 2020,Bluebellplasnewydd,/Profile/Bluebellplasnewydd,1182,"Cardiff, United Kingdom",491, February 2020
747772599,Having a blanket in opera house during attraction,May I kindly advise everybody having a blanket inside of Royal Opera House during attraction because it was freezing inside.,3.0,Feb 2020,peykoglu,/Profile/peykoglu,4,"Izmir, Turkey",1, February 2020
746736918,Ensaios abertos Opera Londres,"Uma pausa no centro de Londres, um edificio belíssimo e a oportunidade para assistir de perto, sentado no palco, a um ensaio",5.0,Feb 2020,Maria S,/Profile/G9863MKmarias,35,"Faro, Portugal",6, February 2020
744566286,Spectacular new architecture in conjunction with the classic Theatre design.,"Beautiful building, spectacular performance of Verdi's 'La Traviata', with the most polite and helpful staff.",5.0,Feb 2020,Barbara C,/Profile/barbaracV9437VV,7,"Kent, United Kingdom",0, January 2020
758577730,Spettacolare al tramonto,Meraviglia da visitare ma anche da godere della piazza al tramonto. Peccato per tutti i ristoranti acchiappa turisti,5.0,Today,Luke,/Profile/Luke1Luke,78,"Reggio Emilia, Italy",22, June 2020
758576842,"Alle Götter vereint.... und das in dieser besonderen Zeit. Danke, dass ich das Pantheon 🏛 ein Mal soooo lehr erleben ","Ein wirklich besonderer Moment ein fast Menschenleeres Pantheon. Welch wunder das so zu erleben... das wohl einzige Unzerstörte Denkmal aus jener Epoche des römischen Imperiums. Dazu war es doch gut, dass es zu einer Kirche umfunktioniert wurde und somit in Ewigkeit erhalten blieb ...",5.0,Today,EstherStellaScherer,/Profile/EstherStellaScherer,67,"Frankfurt, Germany",20, June 2020
758423083,Sempre uno spettacolo,Ogni volta che passo d Pantheon è una gioia per gli occhi. È una delle mie mete preferite quando passo per il centro di Roma.,5.0,Jun 28,Fidias1970,/Profile/Fidias1970,240,"Rome, Italy",129, June 2020
758364720,Maestoso ,Opera architettonica unica e immensa per genialità e tecnica. Rappresenta appieno la grandezza della Roma antica e dei suoi ingegneri. Affascinante l’oculo e la sua utilità a livello di gestione della luce e della pioggia. Quasi 2000 anni di genio romano.,5.0,Jun 28,favatilucesio,/Profile/favatilucesio,153,"Castelfiorentino, Italy",57, June 2020
758305589,Just go,"Just go and experience the intellect of the people that created this wonderful building. Bonus, it is close to all the Italian designer shops. So you get a 2 for one experience :-)",4.0,Jun 27,Joost B,/Profile/joostb413,214,"Kanchanaburi, Thailand",76, March 2020
758249867,In giro per Roma,Non si può  andare a Roma  e non andare a vedere il Pantheon.  Spettacolare la piazza dove si trova . Ricco di storia e voglia di conoscere,5.0,Jun 26,Maria S,/Profile/mariasl1911KC,138,"Naples, Italy",5, February 2020
758217677,Best time ever to visit Rome,"I'm from Rome, but let me write this in English. I've never seen Rome so empty, in particular with such a fantastic weather. The COVID cases in Rome are currently negligible: a few cases per day over millions of people. If I were a tourist, I would run to Rome right now. The most risky part of the trip is probably the flight or so. I don't think this situation will last long (and I hope it won't).A few days ago Pantheon was almost empty, and I could take nice pictures and enjoy the atmosphere.",5.0,Jun 26,Bizio76,/Profile/Bizio76,6,,6, June 2020
758089299,muito lindo,Local bom para fotos Quando for em Roma não deixe de visitarvoltando ao império anos atrás nos faz refletir na época de Jesus,4.0,Jun 24,ATOS TURISMO E VIAGENS,/Profile/OMSIRUT,6,"Sao Paulo, SP",0, September 2019
758021389,A must see,Well worth any wait.  A must see if you are in Rome.  We walked there without a tour guide.  They have headphones if you are interested in finding out more while inside.  Breathtaking.,5.0,Jun 23,BAGILBERT,/Profile/BAGILBERT,10,"Hamilton, Canada",3, September 2019
757932825,Pantheon,"Monumento storico, che dire..semplicemente magnifico. Nulla da dire, maestoso e grandioso in tutta la sua bellezza",5.0,Jun 22,lorenzosalv,/Profile/lorenzosalv,3,"Rome, Italy",0, June 2020
750695916,wow,"Bellissimo Teatro, bellissima struttura, tutto perfetto, per noi e' stata una piacevole scoperta. Da vedere.",5.0,Mar 2020,buxino,/Profile/buxino,2403,"Turin, Italy",438, February 2020
738623074,besonders seheswert,"direkt an piazza ferrari gelegen und kaum zu verpassen, vom hafen zu fuss ca. 5-10 minuten. toller platz um sich alles in ruhe anzuschauen. leider keine zeit gehabt rein zu gehen, aber das was wir gesehen haben lohnt sich schon.",5.0,Jan 2020,kbehechti,/Profile/kbehechti,2433,"Stutensee, Germany",78, November 2019
737770523,Un teatro di grande impatto visivo,"Vedere il Teatro Carlo Felice di Genova è un'esperienza da ricordare. Bello, c'è poco da dire! Esteticamente, la parte che comprende il palcoscenico e i lati è resa come una piazza cittadina, con tanto di mura e balconcini. Inoltre, il teatro è grande e l'acustica ottima. Il golfo mistico è parzialmente visibile, ma quel tanto che permette al Direttore d'orchestra di essere visto dal pubblico. Insomma, davvero uno splendido teatro. Lo scorso 28 dicembre 2019 ho visto lì la Boheme: meraviglioso!",5.0,Jan 2020,emanuelacarla,/Profile/emanuelacarla,10,"Milan, Italy",0, December 2019
737766027,Un bel teatro lirico,"Questo teatro, intitolato al re Carlo in omaggio alla casata dei Savoia, del cui regno Genova e la Liguria tutta faceva parte nell'800, si trova nel pieno centro di  Genova, affacciato su piazza De Ferrari.Il teatro, pesantemente bombardato nell'ultima guerra, è stato ricostruito mantenendo però una parte della facciata con i portici.Vi vengono prodotte soprattutto opere liriche con artisti di fama mondiale.",4.0,Jan 2020,franco1953Genova,/Profile/franco1953Genova,6104,Genova,571, December 2019
737219903,Bello e particolare ,"In occasione di  capodanno 2019 a Genova avevo letto che la sera del 28 era in programma La Boheme al Teatro Carlo Felice e dal sito del teatro si vedeva che c'erano ancora molti posti a disposizione. I prezzi erano abbastanza elevati in linea con quelli praticati dei grandi teatri di lirica. Ho letto anche che c'era la possibilità  di acquistare i biglietti a prezzo ridotto, presentandosi in biglietteria un'ora prima dello spettacolo. Così abbiamo fatto e con un notevole risparmio (30%), abbiamo visto lo spettacolo. Ci hanno dato la fila 28 centrale, un po' distante dal palco, Ma per il secondo atto siamo andati in fila 9, essendoci molti posti liberi. Il teatro è bello, un po' particolare con il suo aspetto di una piazza genovese. La boheme è stata di buon livello con una scenografia particolare e costumi molto colorati. Una bella esperienza quindi.",4.0,Jan 2020,Sergfer,/Profile/Sergfer,507,"Turin, Italy",184, January 2020
